Time:               Temperature(C):     Altitude(m):
____________________________________________________________
2014:14:07:04:11     -114.12483        000205.88723
2014:14:07:04:11     -112.15595        000694.78593
2014:14:07:04:11     -111.64801        001765.30090
2014:14:07:04:12     -111.13241        001990.93007
2014:14:07:04:12     -110.24864        003114.80170
2014:14:07:04:12     -109.96556        003354.20220
2014:14:07:04:12     -107.41778        003438.21163
2014:14:07:04:13     -104.75765        003984.88283
2014:14:07:04:13     -101.49395        004181.74327
2014:14:07:04:13     -101.24813        004274.15176
2014:14:07:04:13     -099.43021        004707.02296
2014:14:07:04:14     -098.25253        005060.35962
2014:14:07:04:14     -093.52630        005189.53667
2014:14:07:04:14     -093.36643        006267.08899
2014:14:07:04:14     -092.99585        006500.41451
2014:14:07:04:15     -090.32407        006628.87347
2014:14:07:04:15     -090.27194        006906.91528
2014:14:07:04:15     -089.10333        007167.38441
2014:14:07:04:15     -087.65629        007207.63062
2014:14:07:04:16     -087.51116        007387.70645
2014:14:07:04:16     -086.50632        007874.76213
2014:14:07:04:16     -086.42935        008279.34225
2014:14:07:04:16     -085.41023        008308.76369
2014:14:07:04:17     -085.17425        008995.62829
2014:14:07:04:17     -085.12897        009195.42150
2014:14:07:04:17     -084.48895        009278.88834
2014:14:07:04:17     -082.43373        009835.87797
2014:14:07:04:18     -080.27399        009996.33101
2014:14:07:04:18     -080.22134        010007.52981
2014:14:07:04:18     -078.36369        010667.75664
2014:14:07:04:18     -076.72916        010821.93643
2014:14:07:04:19     -076.36618        011301.17192
2014:14:07:04:19     -074.98421        011351.34797
2014:14:07:04:19     -073.74027        011505.71136
2014:14:07:04:19     -069.44933        011565.71101
2014:14:07:04:20     -069.34211        011856.98137
2014:14:07:04:20     -069.30180        012061.27197
2014:14:07:04:20     -068.53807        012859.90225
2014:14:07:04:20     -068.37802        012924.90587
2014:14:07:04:21     -068.29705        013552.22872
2014:14:07:04:21     -067.62879        013987.36958
2014:14:07:04:21     -064.06883        014150.41215
2014:14:07:04:21     -063.89394        014657.77325
2014:14:07:04:22     -063.73206        014819.43856
2014:14:07:04:22     -060.44342        015252.15918
2014:14:07:04:22     -060.02930        015634.07817
2014:14:07:04:22     -053.46817        015658.66301
2014:14:07:04:23     -053.30668        016018.23676
2014:14:07:04:23     -052.67792        016409.19131
2014:14:07:04:23     -051.87022        016660.86985
2014:14:07:04:23     -051.47451        016747.71096
2014:14:07:04:24     -050.32768        016924.96408
2014:14:07:04:24     -048.54621        017062.95061
2014:14:07:04:24     -046.90773        017098.39086
2014:14:07:04:24     -046.79571        018538.27048
2014:14:07:04:25     -045.05541        018629.15120
2014:14:07:04:25     -043.08362        019350.86324
2014:14:07:04:25     -042.34696        019386.38869
2014:14:07:04:25     -040.03505        019424.76763
2014:14:07:04:26     -039.29211        020206.02230
2014:14:07:04:26     -037.30930        020352.67704
2014:14:07:04:26     -034.45076        020370.44615
2014:14:07:04:26     -034.15456        020405.56965
2014:14:07:04:27     -030.51542        020573.17607
2014:14:07:04:27     -029.58453        020582.02235
2014:14:07:04:27     -028.25729        020605.55141
2014:14:07:04:27     -027.98389        021547.22381
2014:14:07:04:28     -027.28050        021820.21473
2014:14:07:04:28     -027.05186        022123.49509
2014:14:07:04:28     -024.86811        022203.15453
2014:14:07:04:28     -024.16556        022561.86138
2014:14:07:04:29     -021.15709        022969.53394
2014:14:07:04:29     -021.10606        022981.08863
2014:14:07:04:29     -020.37492        023455.05591
2014:14:07:04:29     -017.83687        023906.08613
2014:14:07:04:30     -017.45654        024046.54340
2014:14:07:04:30     -016.54613        024056.47956
2014:14:07:04:30     -013.41628        024108.26561
2014:14:07:04:30     -013.28222        024331.91839
2014:14:07:04:31     -011.43866        024348.80973
2014:14:07:04:31     -009.21928        024569.32872
2014:14:07:04:31     -008.39873        024601.17840
2014:14:07:04:31     -008.21534        024918.73969
2014:14:07:04:32     -007.02845        025175.19715
2014:14:07:04:32     -005.76149        025186.63866
2014:14:07:04:32     -005.17614        025772.97702
2014:14:07:04:32     -004.11294        025854.30329
2014:14:07:04:33      000.79717        025889.38603
2014:14:07:04:33      001.38579        026926.58545
2014:14:07:04:33      002.99585        027185.03475
2014:14:07:04:33      004.96832        027583.98907
2014:14:07:04:34      005.38940        027637.93641
2014:14:07:04:34      006.28644        028354.17383
2014:14:07:04:34      008.77747        028937.95570
2014:14:07:04:34      009.16028        029497.08071
2014:14:07:04:35      010.25116        029559.20503
2014:14:07:04:35      015.37233        029753.15424
2014:14:07:04:35      016.40046        029866.30519
2014:14:07:04:35      021.27850        029977.77519
2014:14:07:04:36      023.50627        030409.85833
