Time:                Pressure(psi):
____________________________________________________________
2014:14:07:04:13        000051.68162
2014:14:07:04:14        000052.72670
2014:14:07:04:19        000058.86358
2014:14:07:04:20        000059.65826
2014:14:07:04:21        000060.86608
2014:14:07:04:23        000062.95372
2014:14:07:04:23        000062.95372
2014:14:07:04:25        000065.36849
2014:14:07:04:28        000071.75847
2014:14:07:04:29        000073.05554
2014:14:07:04:32        000075.16140
2014:14:07:04:33        000076.08575
