Time:               Temperature(C):             Altitude(m):  Pressure (psi):
______________________________________________________________________________________
2014:14:07:04:11       -000114.12483        000205.88723     000050.02075
2014:14:07:04:11       -000112.15595        000694.78593     000050.14359
2014:14:07:04:11       -000111.64801        001765.30090     000050.31793
2014:14:07:04:12       -000111.13241        001990.93007     000050.71190
2014:14:07:04:12       -000110.24864        003114.80170     000050.82830
2014:14:07:04:12       -000109.96556        003354.20220     000051.23815
2014:14:07:04:12       -000107.41778        003438.21163     000051.28196
2014:14:07:04:13       -000104.75765        003984.88283     000051.39750
2014:14:07:04:13       -000101.49395        004181.74327     000051.56296
:                   :                   :                :
2014:14:07:04:13       -000099.43021        004707.02296     000051.80027
2014:14:07:04:14       -000098.25253        005060.35962     000051.88341
2014:14:07:04:14       -000093.52630        005189.53667     000052.14865
:                   :                   :                :
2014:14:07:04:14       -000092.99585        006500.41451     000053.30475
2014:14:07:04:15       -000090.32407        006628.87347     000053.40430
2014:14:07:04:15       -000090.27194        006906.91528     000053.59414
2014:14:07:04:15       -000089.10333        007167.38441     000053.75891
2014:14:07:04:15       -000087.65629        007207.63062     000054.05207
2014:14:07:04:16       -000087.51116        007387.70645     000054.38494
2014:14:07:04:16       -000086.50632        007874.76213     000054.47853
2014:14:07:04:16       -000086.42935        008279.34225     000054.92864
2014:14:07:04:16       -000085.41023        008308.76369     000054.98360
2014:14:07:04:17       -000085.17425        008995.62829     000055.72283
2014:14:07:04:17       -000085.12897        009195.42150     000055.95592
2014:14:07:04:17       -000084.48895        009278.88834     000056.20029
2014:14:07:04:17       -000082.43373        009835.87797     000056.46316
2014:14:07:04:18       -000080.27399        009996.33101     000056.67214
2014:14:07:04:18       -000080.22134        010007.52981     000057.17712
2014:14:07:04:18       -000078.36369        010667.75664     000057.58927
2014:14:07:04:18       -000076.72916        010821.93643     000057.77977
2014:14:07:04:19       -000076.36618        011301.17192     000057.87549
2014:14:07:04:19       -000074.98421        011351.34797     000058.67585
2014:14:07:04:19       -000073.74027        011505.71136     000058.80312
:                   :                   :                :
2014:14:07:04:20       -000069.34211        011856.98137     000058.92404
2014:14:07:04:20       -000069.30180        012061.27197     000059.18026
2014:14:07:04:20       -000068.53807        012859.90225     000059.50269
:                   :                   :                :
2014:14:07:04:21       -000068.29705        013552.22872     000059.81382
2014:14:07:04:21       -000067.62879        013987.36958     000059.88974
2014:14:07:04:21       -000064.06883        014150.41215     000060.37993
:                   :                   :                :
2014:14:07:04:22       -000063.73206        014819.43856     000061.35223
2014:14:07:04:22       -000060.44342        015252.15918     000061.37472
2014:14:07:04:22       -000060.02930        015634.07817     000061.65362
2014:14:07:04:22       -000053.46817        015658.66301     000062.20168
2014:14:07:04:23       -000053.30668        016018.23676     000062.28256
:                   :                   :                :
:                   :                   :                :
2014:14:07:04:23       -000051.47451        016747.71096     000063.62487
2014:14:07:04:24       -000050.32768        016924.96408     000064.36525
2014:14:07:04:24       -000048.54621        017062.95061     000064.40056
2014:14:07:04:24       -000046.90773        017098.39086     000064.40401
2014:14:07:04:24       -000046.79571        018538.27048     000064.60122
:                   :                   :                :
2014:14:07:04:25       -000043.08362        019350.86324     000066.13575
2014:14:07:04:25       -000042.34696        019386.38869     000066.69061
2014:14:07:04:25       -000040.03505        019424.76763     000066.86700
2014:14:07:04:26       -000039.29211        020206.02230     000067.87370
2014:14:07:04:26       -000037.30930        020352.67704     000068.33342
2014:14:07:04:26       -000034.45076        020370.44615     000068.74116
2014:14:07:04:26       -000034.15456        020405.56965     000069.48882
2014:14:07:04:27       -000030.51542        020573.17607     000069.66595
2014:14:07:04:27       -000029.58453        020582.02235     000069.73458
2014:14:07:04:27       -000028.25729        020605.55141     000070.35280
2014:14:07:04:27       -000027.98389        021547.22381     000070.88406
2014:14:07:04:28       -000027.28050        021820.21473     000071.13435
2014:14:07:04:28       -000027.05186        022123.49509     000071.23556
:                   :                   :                :
2014:14:07:04:28       -000024.16556        022561.86138     000072.28139
2014:14:07:04:29       -000021.15709        022969.53394     000072.36851
2014:14:07:04:29       -000021.10606        022981.08863     000072.43834
2014:14:07:04:29       -000020.37492        023455.05591     000072.87315
:                   :                   :                :
2014:14:07:04:30       -000017.45654        024046.54340     000073.23793
2014:14:07:04:30       -000016.54613        024056.47956     000073.46608
2014:14:07:04:30       -000013.41628        024108.26561     000073.52274
2014:14:07:04:30       -000013.28222        024331.91839     000073.72861
2014:14:07:04:31       -000011.43866        024348.80973     000074.02909
2014:14:07:04:31       -000009.21928        024569.32872     000074.04546
2014:14:07:04:31       -000008.39873        024601.17840     000074.35349
2014:14:07:04:31       -000008.21534        024918.73969     000075.00562
:                   :                   :                :
2014:14:07:04:32       -000005.76149        025186.63866     000075.31717
2014:14:07:04:32       -000005.17614        025772.97702     000075.45234
2014:14:07:04:32       -000004.11294        025854.30329     000075.45244
2014:14:07:04:33        000000.79717        025889.38603     000075.52943
:                   :                   :                :
2014:14:07:04:33        000002.99585        027185.03475     000076.64207
2014:14:07:04:33        000004.96832        027583.98907     000076.66965
2014:14:07:04:34        000005.38940        027637.93641     000076.76768
2014:14:07:04:34        000006.28644        028354.17383     000076.98630
2014:14:07:04:34        000008.77747        028937.95570     000077.52150
2014:14:07:04:34        000009.16028        029497.08071     000077.64513
2014:14:07:04:35        000010.25116        029559.20503     000077.66271
2014:14:07:04:35        000015.37233        029753.15424     000077.71095
2014:14:07:04:35        000016.40046        029866.30519     000078.49934
2014:14:07:04:35        000021.27850        029977.77519     000079.13014
2014:14:07:04:36        000023.50627        030409.85833     000079.72476
