Time:               Temperature(C):        Altitude(m):      Pressure(psi):
______________________________________________________________________________________
2014:14:05:47:46            -173.9101531767623   420.8997958365823   50.19281724424118		
2014:14:05:47:46           -170.73364084268783    552.742552125085  50.544872474236335
2014:14:05:47:47           -173.66281629255548   2240.060326091309  51.367958612874574
2014:14:05:47:47            -166.2084326407425  3813.7049416968384  -6268.918430416697
2014:14:05:47:47           -169.91694766398203  2979.8520667909665  52.293702847205914
2014:14:05:47:47           -165.01763961218444   4213.670556876181   51.08062863651508
2014:14:05:47:48           -167.88966708084936   5309.749516731798   53.13970482312747
2014:14:05:47:48           -156.60250966481425   4228.317842725826   52.29952102748903
2014:14:05:47:48           -167.83291107520535   6824.698434631327  -6558.420747115492
2014:14:05:47:48           -154.65986192722778  4650.1185358139965  53.677048442960505
2014:14:05:47:49            -135.5864882925918   8303.140126271603   6582.272951751209
2014:14:05:47:49            -154.2505280950171   8758.945136024122   53.70058162694424
2014:14:05:47:49            -128.8335703852206   9122.957325341196  53.587395147406404
2014:14:05:47:49           -151.54544511316448    8945.93708335284    55.2584423058422
2014:14:05:47:50           -125.58107041492596   9908.592468334988   53.80135398143193
