Time:               Temperature(C):             Altitude(m):  Pressure (psi):
______________________________________________________________________________________
2014:14:05:47:50       -000101.33959        003350.06138     000055.27450
2014:14:05:47:50       -000086.83457        003191.31540     000053.99129
2014:14:05:47:50       -000096.20039        004019.78296     000055.51911
2014:14:05:47:51       -000084.39700        003226.76591     000054.03620
2014:14:05:47:51       -000089.79036        004043.59117     000055.65648
2014:14:05:47:51       -000084.00761        003518.93594     000054.27895
2014:14:05:47:51       -000089.47116        004226.54241     000055.71641
2014:14:05:47:52       -000080.97454        003558.03431     000054.46484
2014:14:05:47:52       -000089.36673        004233.25242     000056.35755
2014:14:05:47:52       -000078.56624        003905.56428     000054.89897
:                   :                   :                :
2014:14:05:47:53       -000077.56183        004278.72878     000055.03260
2014:14:05:47:53       -000086.39996        004815.09498     000056.49298
2014:14:05:47:53       -000073.92532        006084.94663     000055.22473
2014:14:05:47:53       -000086.14626        006029.49364     000057.16390
2014:14:05:47:54       -000073.18946        006125.33003     000055.30809
2014:14:05:47:54       -000081.84765        007805.19161     000057.36652
2014:14:05:47:54       -000072.33887        007552.68969     000055.52907
2014:14:05:47:54       -000080.51028        008649.52468     000057.84792
2014:14:05:47:55       -000069.68333        007777.99800     000055.57278
2014:14:05:47:55       -000073.20381        008853.84512     000058.03679
2014:14:05:47:55       -000068.95661        008693.37536     000055.93828
2014:14:05:47:55       -000072.14016        009597.70537     000058.63222
2014:14:05:47:56       -000063.71159        009667.74273     000056.04719
2014:14:05:47:56       -000072.04236        010687.61913     000058.83584
2014:14:05:47:56       -000063.16898        010001.08511     000056.04784
2014:14:05:47:56       -000071.25071        010886.58811     000059.67941
2014:14:05:47:57       -000058.64971        010084.35758     000056.88548
2014:14:05:47:57       -000070.68599        011096.62638     000060.73620
:                   :                   :                :
2014:14:05:47:57       -000066.66656        011831.36327     000060.82621
2014:14:05:47:58       -000052.41043        011302.91341     000057.28465
2014:14:05:47:58       -000066.02554        012822.29521     000061.26840
:                   :                   :                :
2014:14:05:47:58       -000062.78092        013225.69371     000061.50650
2014:14:05:47:59       -000050.16725        013179.36331     000058.10213
2014:14:05:47:59       -000062.65513        013754.20758     000062.25209
2014:14:05:47:59       -000049.57486        013480.80682     000058.19242
2014:14:05:47:59       -000060.49635        014739.17663     000063.13627
:                   :                   :                :
2014:14:05:48:00       -000058.87478        014791.11539     000063.42232
2014:14:05:48:00       -000039.52691        013718.25917     000058.35424
2014:14:05:48:00       -000055.20955        014996.74473     000063.72457
2014:14:05:48:01       -000039.02300        013876.35635     000059.09698
2014:14:05:48:01       -000047.24444        015662.46396     000063.79526
2014:14:05:48:01       -000038.78626        013928.31128     000059.64588
2014:14:05:48:01       -000046.92505        015732.55612     000063.84319
2014:14:05:48:02       -000038.06585        014038.89819     000061.55562
2014:14:05:48:02       -000043.89156        017480.54718     000064.03250
2014:14:05:48:02       -000037.58396        014182.44559     000062.08392
2014:14:05:48:02       -000042.95456        018284.90261     000064.10793
2014:14:05:48:03       -000036.98385        016243.98012     000063.62519
2014:14:05:48:03       -000042.71789        018640.76625     000064.92936
2014:14:05:48:03       -000035.61025        016373.98278     000063.66177
2014:14:05:48:03       -000038.22966        019114.52425     000065.27451
2014:14:05:48:04       -000029.79188        016650.55758     000064.44111
2014:14:05:48:04       -000035.82137        019142.12789     000065.47198
2014:14:05:48:04       -000027.05979        016866.26222     000066.02047
2014:14:05:48:04       -000033.98319        019854.17962     000065.51506
:                   :                   :                :
:                   :                   :                :
2014:14:05:48:05       -000021.50717        018235.50916     000068.06728
2014:14:05:48:05       -000026.11980        020876.94483     000067.26766
2014:14:05:48:06       -000021.12772        019227.29118     000068.96452
2014:14:05:48:06       -000025.16271        021000.87531     000067.61460
2014:14:05:48:06       -000019.60877        019346.36901     000069.10489
:                   :                   :                :
2014:14:05:48:07       -000015.16885        020497.42121     000069.46569
2014:14:05:48:07       -000019.28963        021196.07136     000068.72697
2014:14:05:48:07       -000010.99773        020656.90366     000069.77015
2014:14:05:48:07       -000015.90007        021429.49513     000070.86708
2014:14:05:48:08       -000009.97106        021239.67947     000071.04163
2014:14:05:48:08       -000014.96904        023032.94402     000071.90687
2014:14:05:48:08       -000003.46698        021426.34480     000072.05399
2014:14:05:48:08       -000011.12165        023326.43762     000072.37195
2014:14:05:48:09       -000003.28297        021587.83369     000072.21483
2014:14:05:48:09       -000003.03028        024269.79186     000072.55937
2014:14:05:48:09        000004.94747        022385.88897     000072.38745
2014:14:05:48:09        000002.50339        024325.46781     000073.65082
2014:14:05:48:10        000006.64787        022606.31291     000072.74860
2014:14:05:48:10        000004.37743        024443.94497     000073.65908
2014:14:05:48:10        000008.23147        023134.82686     000073.37138
2014:14:05:48:10        000005.15469        024976.54528     000073.89030
2014:14:05:48:11        000008.40963        023800.45265     000076.16577
2014:14:05:48:11        000005.18526        024999.46161     000074.43351
:                   :                   :                :
2014:14:05:48:11        000006.01892        025069.51233     000075.03019
2014:14:05:48:12        000009.90251        024420.84605     000077.35052
2014:14:05:48:12        000006.12741        026476.23155     000075.94080
2014:14:05:48:12        000010.68251        024576.76332     000077.42610
2014:14:05:48:12        000009.17915        027604.06012     000076.16852
2014:14:05:48:13        000011.77367        024973.30810     000079.02575
2014:14:05:48:13        000012.01953        027742.33978     000076.27690
2014:14:05:48:13        000012.91231        025796.62383     000079.04863
2014:14:05:48:13        000012.27924        028072.14349     000076.43638
2014:14:05:48:14        000014.96570        029728.10757     000079.29189
2014:14:05:48:14        000017.98595        028122.04947     000076.53446
2014:14:05:48:14        000017.06979        029735.02726     000079.43621
:                   :                   :                :
2014:14:05:48:15        000020.30576        029982.19330     000079.55675
2014:14:05:48:15        000018.59212        029384.86968     000079.02732
2014:14:05:48:15        000021.33325        030438.88959     000079.62070
2014:14:05:48:15        000019.14763        029530.05116     000079.19870
2014:14:05:48:16        000023.85986        030469.04490     000079.64264
2014:14:05:48:16        000023.67675        030081.76453     000079.26892
